,Lat,Lng,City,temperature,humidity,cloudiness,windSpeed
344,31.840492706022474,-109.82319704245393,naco,305.06,17.0,1.0,2.1
345,51.574459416716195,84.50553555094763,soloneshnoye,281.371,83.0,12.0,0.91
346,41.27672403202996,-85.25248159648436,kendallville,301.31,69.0,1.0,3.51
347,-6.150358722889578,-145.01409940442312,atuona,299.671,99.0,0.0,8.71
348,21.376814940087527,-6.471341130389391,taoudenni,305.721,30.0,44.0,1.21
349,54.56801773690319,-14.16908175536085,dingle,297.871,99.0,92.0,5.01
350,-52.56664046759828,-86.53092948650725,punta arenas,274.15,80.0,90.0,5.7
351,-7.083867663869171,-38.60507162546486,sao jose de piranhas,301.971,30.0,80.0,2.86
353,-62.003645457640076,15.967848219192575,bredasdorp,283.15,76.0,0.0,4.1
354,-27.031208681592616,137.01028460023514,alice springs,283.15,39.0,0.0,3.6
355,0.8838581676975394,124.92428210979273,tondano,303.15,48.0,40.0,5.7
356,-14.259841782515963,160.6386479445991,kirakira,300.271,100.0,36.0,7.06
357,-6.341790760475689,-104.05698106582305,puerto ayora,296.15,69.0,40.0,8.7
358,-83.61765399268893,-174.55006058536722,vaini,293.971,98.0,92.0,4.36
359,-20.63830821661122,105.63262057549821,carnarvon,268.221,73.0,0.0,1.21
360,-67.40319433090447,128.13019087768583,new norfolk,283.15,81.0,90.0,3.6
361,-44.02837629670246,102.13541518542667,busselton,287.171,100.0,92.0,4.46
362,63.091840418649326,-118.67813524712781,hay river,291.15,82.0,90.0,2.1
363,40.73017361206482,59.59176877230587,dasoguz,299.99,32.0,0.0,3.1
364,-36.50179155246839,-27.500463341121332,arraial do cabo,293.871,99.0,56.0,3.46
365,-33.01263104106137,153.8361517776296,nelson bay,287.15,82.0,75.0,7.7
366,12.158149031409309,104.98356962241547,kampong chhnang,296.621,97.0,92.0,1.61
367,-88.16484893580677,-76.72105491707606,ushuaia,274.15,64.0,0.0,2.6
368,60.734768652388084,14.53087631007358,ludvika,285.15,87.0,32.0,2.1
369,-29.841169993337537,61.54122348356552,souillac,297.64,47.0,0.0,3.6
370,24.653412206057922,-68.95775057690027,cockburn town,301.821,95.0,0.0,7.41
371,-24.133168567189998,-108.35969001208996,rikitea,296.421,100.0,20.0,7.26
372,66.35034110688227,148.708434048004,zyryanka,285.521,63.0,20.0,1.51
373,-74.39522487199747,133.692650695115,new norfolk,283.15,81.0,90.0,3.6
374,36.44376292010837,20.254261549598283,lithakia,293.15,77.0,0.0,2.61
375,-72.17507325721513,118.7379732377629,albany,298.84,62.0,20.0,2.1
376,-43.035437302369616,19.21795824397077,bredasdorp,283.15,76.0,0.0,4.1
377,-87.26689006689504,32.72368558447238,port elizabeth,301.68,74.0,1.0,1.86
378,55.99524292894432,127.22262624985854,zeya,287.821,58.0,0.0,2.21
379,-42.44157373999038,-173.66408734896132,vaini,293.971,98.0,92.0,4.36
380,71.31442277962634,28.42679503141764,mehamn,281.221,100.0,68.0,5.76
381,22.328332623335967,25.34752399924409,marawi,295.371,97.0,76.0,1.91
382,86.03628993716214,-47.08809256397936,upernavik,280.221,81.0,24.0,1.81
383,15.93707280995963,154.9766866488365,kavieng,297.721,100.0,92.0,2.71
384,-55.361231370819155,30.22819104261572,port elizabeth,301.68,74.0,1.0,1.86
385,25.24540939493457,109.2707299133113,luorong,298.271,93.0,80.0,1.11
386,70.55763333245753,-154.20640268266484,barrow,284.371,48.0,8.0,5.46
387,-71.81802925407771,119.40473727294972,albany,298.84,62.0,20.0,2.1
389,61.65177152707736,-158.21231204558345,bethel,287.15,93.0,90.0,9.8
391,-12.786996961246373,-115.68619859847419,rikitea,296.421,100.0,20.0,7.26
